TN concentration,
Day,Y
21.287095891995154,6.6505242680088905
21.285224806178462,6.263209503953691
21.35717656076579,5.453165424294635
21.429978808906164,4.819173510115213
21.666892293041467,3.607281432566584
21.957965206634462,4.1839568852194144
22.038932192884033,5.2400657596445015
22.036380712224908,4.711909263205593
22.120069277844216,6.331385067165515
22.229919025155084,7.084602569584536
22.343068687451755,5.380091018217291
22.41621113301334,4.816519970229724
22.65573012916291,3.5897080344833086
23.02448412214878,5.096570487375303
23.106301601951394,6.328731527280025
23.10340992387105,5.730154164649262
23.21960435308761,7.011517957584556
23.333043183192316,6.1520670064421985
23.330831899954408,5.694331376195144
23.404654740358428,5.271602060591288
23.403804246805386,5.0955498951116525
23.401763062278086,4.6730246979605266
23.711456114725674,3.52040408311907
24.008845360439267,4.706602183434612
