TN concentration one day (current 11 cycles/day),
Hour,Y
17.650000000000123,4.149826979805692
17.700000000000124,4.282762466945584
17.75000000000012,4.3556806473599785
17.800000000000125,4.321568284996969
17.850000000000122,4.32862666646348
17.900000000000126,4.322330990928759
17.950000000000124,4.421371575656982
18.000000000000128,4.484116495134202
18.05000000000013,4.641515178935812
18.10000000000013,4.774320716647026
18.150000000000126,4.9076568512356396
18.20000000000013,4.883189121650123
18.25000000000013,4.512446338687772
18.300000000000132,4.129835613609362
18.35000000000013,3.9359242377037784
18.400000000000134,3.700246628535343
18.45000000000013,3.67387676623672
18.500000000000135,3.6401393133666655
18.550000000000132,3.6892662358499777
18.600000000000136,3.7639144787716727
18.650000000000134,3.8477058213144915
18.700000000000138,3.8986676875951076
18.750000000000135,4.004474579127223
18.80000000000014,4.0114871941771035
