TN concentration one day (optimal 39 cycles/day),
Hour,Y
17.550000000000118,3.3764902114559696
17.600000000000122,3.226515664447261
17.65000000000012,3.2348545188479765
17.700000000000124,3.410384737612617
17.75000000000012,3.5560293984066895
17.800000000000125,3.50787368863363
17.850000000000122,3.303906898076617
17.900000000000126,3.203843641495835
17.950000000000124,3.2181863864334446
18.000000000000128,3.323847190081592
18.050000000000125,3.4826945133698874
18.10000000000013,3.541505079542997
18.150000000000126,3.378423204625131
18.20000000000013,3.209999826804385
18.25000000000013,3.1618925251983185
18.300000000000132,3.3061708517741693
18.35000000000013,3.4048375280591383
18.400000000000134,3.5371184685086785
18.45000000000013,3.3748062449373286
18.500000000000135,3.1893885554102646
18.550000000000132,3.169785674495941
18.600000000000136,3.304458363240535
18.650000000000134,3.424180035039372
18.700000000000138,3.5299705884055044
