Heterogtrophic Biomass,
Day,Y
16.49999999999996,1153.157147842258
16.599999999999962,1155.7939977356496
16.699999999999964,1154.612242040958
16.799999999999965,1149.13719440598
16.899999999999963,1137.1706298347283
16.99999999999997,1127.308790451171
17.099999999999973,1121.9864357871863
17.19999999999997,1124.0360473364854
17.299999999999972,1135.3585089031933
17.399999999999974,1146.198115489681
17.49999999999998,1151.306787134514
17.599999999999977,1155.263693652817
17.699999999999978,1153.0692798699215
17.799999999999983,1144.6190922502306
17.899999999999984,1135.1512394317438
17.999999999999986,1124.4364450353808
18.099999999999984,1122.0674914234382
18.19999999999999,1127.0776285585628
18.299999999999986,1138.4121869379642
18.399999999999988,1148.5904502817953
18.499999999999993,1153.3020648417953
18.59999999999999,1155.1488307968157
18.699999999999996,1155.119825164411
18.799999999999997,1149.2714357740167
